Year,Top Quintile1,Bottom Quintile1,Top Quintile,Bottom Quintile
2005,168.37,0.79,,
2006,718.3,23.95,,
2007,500.67,44.75,,
2008,614.42,34.18,,
2009,487.46,23.33,,
2010,1272.43,187.02,,
2011,1780.21,290.66,,
2012,2396.02,257.96,,
2013,1632.08,125.45,5563.53,2686.69
2014,1799.43,120.94,7549.49,3629.49
2015,2906.06,275.59,11975.44,5743.98
2016,4172.17,529.47,15996.42,7913.61
2017,6812.94,771.81,20682.61,11784.82
2018,8529.77,1030.28,25154.99,14724.97
2019,7838.45,1380.35,35851.19,20432.88
2020,12427.55,2199.14,,
