Year,Medicaid,Medicare
2005,59.53 (66.64),
2006,260.98 (291.09),
2007,243.18 (164.35),
2008,274.17 (229.46),
2009,210.01 (169.99),
2010,646.15 (416.76),
2011,993.76 (549.07),
2012,1009.22 (840.7),
2013,724 (569.23),4022.79 (1030.05)
2014,841.83 (615.03),5604.57 (1443.51)
2015,1443.24 (944.51),8753.49 (2273.94)
2016,2103.56 (1363.75),11746.74 (2971.8)
2017,3186.49 (2260.46),16004.66 (3338.64)
2018,3990.88 (2923.16),19989.81 (3909.21)
2019,4446.04 (2437.61),27876.22 (5545.62)
2020,6706.73 (3986.11),
